latitude,lontitude,Workload,Latency,Max_Distance,Capacity,user id
30.903041,121.922883,4,0.02203,6.609,,a1b1fc7f08616a3e543b84447c4986a6
30.956183,121.908274,5,0.02726,8.178,,af5a90515b3fb60eb9f0004341cbbef7
30.988441,121.87486,7,0.02364,7.092,,0b273be05962ae8667fc6ea5f2d34a7c
30.988441,121.87486,4,0.0215,6.45,,a463509743c7d80e9c45ab07fa76b471
30.933365,121.873737,4,0.01963,5.889,,a45e24740ccbcbd79777a5d5ef21161d
30.933365,121.873737,9,0.02478,7.434,,af2370aff7ee301b0cd06306238c5079
30.933365,121.873737,5,0.02913,8.739,,d9cdd3c801372c06b2d4a74ba9a34299
30.933365,121.873737,4,0.01955,5.865,,9fb5dad5a92266e998f5aeb0f28fc3c4
30.933365,121.873737,7,0.01185,3.555,,39de3d7778e8d9473d9d9632005c5c86
30.933365,121.873737,8,0.0291,8.73,,79c3a6e1174272e5b402e1f360ea2b24
30.87706,121.856429,3,0.02444,7.332,,17eada0bff32eb2f0d5f307b1f90508b
30.85108,121.855994,1,0.02056,6.168,,9500a352a1d99310aaa4981ec4564d50
30.85108,121.855994,7,0.01283,3.849,,bf9e2ca6ec6adb556f93b6cfbf7ca974
31.045319,121.846169,7,0.02428,7.284,,e185445cca4a8c3c934fa6ade53c05f2
30.910136,121.843044,6,0.02017,6.051,,7cfdb60f3c435a77b1d626500ea84d70
30.910136,121.843044,6,0.0196,5.88,,6b85788506c08a725e7fb5c8fa906a29
30.910136,121.843044,8,0.01343,4.029,,078165fd489a73f275fe90e1d3a55984
30.97935,121.815249,3,0.01832,5.496,,3d287d643f5cda7be96918fc1771ddba
30.97935,121.815249,5,0.02791,8.373,,d0a03beaa2e2aa282f08ef47c5a07ab0
30.97935,121.815249,9,0.02341,7.023,,b43e08b250c8008007e2939d3ee5cea0
31.099126,121.813976,4,0.02165,6.495,,fcbeec47a9fb3ba74045f0048ccc6dfc
31.154675,121.81374,8,0.02197,6.591,,dfe1d81e237f390dac78d6a8f3a71056
31.154675,121.81374,1,0.01388,4.164,,7f6c37133b7cbd41c97535fa85e73c79
31.154675,121.81374,2,0.01157,3.471,,ed9a2bf748ffa40b53c62348e7d8df0f
31.154675,121.81374,4,0.01592,4.776,,79658a8074c26e2c7e9a2a74355dfbac
31.154675,121.81374,7,0.01684,5.052,,bc6cbd8d7a183ee39719d4e03dd6432a
31.154675,121.81374,2,0.02118,6.354,,cf8ecfd0b8be87bd59c68efdac2e38c0
31.154675,121.81374,6,0.01592,4.776,,212800751bcca1b8fb84036ca44559b4
31.155342,121.8105,8,0.02265,6.795,,82a59999ed4b4247fb07642817229d9a
31.155342,121.8105,8,0.01491,4.473,,4625fbbaeb6e756f07c8b7088518cadd
31.022923,121.806437,1,0.01825,5.475,,50a8beb489472e574d24b5a529769501
31.168519,121.804669,9,0.0174,5.22,,55a05d181046dc2d0eb7f0eaa12a8f06
31.168519,121.804669,3,0.01804,5.412,,9bb92fa9079c7c3a463b71477e9323d6
30.990721,121.803969,5,0.02977,8.931,,c1bf204e2985304981644abd1166578b
31.065206,121.803371,4,0.0282,8.46,,de913dfa5efe1ad2826bb35309c8d897
31.065206,121.803371,5,0.01297,3.891,,019fcf3c219c57bb3f28b8e21d8553bc
31.065206,121.803371,3,0.014,4.2,,d5fe6b6b104f551a8f271ac6d8569d3b
31.065206,121.803371,8,0.01709,5.127,,195f06ce40fc74d4d354cb5c5aeffb9c
31.065206,121.803371,4,0.02586,7.758,,8551fd72ae3e442fe99442955abed69d
31.065206,121.803371,8,0.0196,5.88,,bb9759f2b74c2532142fc1d6c0774bf8
30.912905,121.801126,4,0.02969,8.907,,71624e09a5216f35eac66c33294de3be
30.912905,121.801126,4,0.02495,7.485,,246ed44cb216dfce92ff915dabb725e9
30.860242,121.79388,1,0.01455,4.365,,24973fc5d7099cb1e1fd43b7528c374b
30.860242,121.79388,7,0.01816,5.448,,a0af1644eb563a4c0bf1c6837b7c2496
31.054324,121.793035,5,0.01524,4.572,,bded06ef356b4a05fea09d05e77d5433
31.054324,121.793035,7,0.02659,7.977,,35ad938735989960ce59c803ffc8350a
31.054324,121.793035,3,0.01426,4.278,,bcef7114e8f9dfdd65b95d0782e0a477
31.058968,121.787072,2,0.02179,6.537,,1f44297aaa9a8010dfcf8dd743f47c04
